State,Year,Citizenship,Status,Gender,Level,Count,Latitude,Longitude
Australian Capital Territory,2017,Domestic,Beginning,Female,Postgraduate,1737,-35.4618,148.983
Australian Capital Territory,2018,Domestic,Beginning,Female,Postgraduate,1643,-35.4618,148.983
Australian Capital Territory,2019,Domestic,Beginning,Female,Postgraduate,1637,-35.4618,148.983
Australian Capital Territory,2020,Domestic,Beginning,Female,Postgraduate,1682,-35.4618,148.983
Australian Capital Territory,2021,Domestic,Beginning,Female,Postgraduate,1680,-35.4618,148.983
Australian Capital Territory,2017,Domestic,Beginning,Female,Undergraduate,4084,-35.4618,148.983
Australian Capital Territory,2018,Domestic,Beginning,Female,Undergraduate,3760,-35.4618,148.983
Australian Capital Territory,2019,Domestic,Beginning,Female,Undergraduate,3956,-35.4618,148.983
Australian Capital Territory,2020,Domestic,Beginning,Female,Undergraduate,3422,-35.4618,148.983
Australian Capital Territory,2021,Domestic,Beginning,Female,Undergraduate,4315,-35.4618,148.983
Australian Capital Territory,2017,Domestic,Beginning,Male,Postgraduate,1466,-35.4618,148.983
Australian Capital Territory,2018,Domestic,Beginning,Male,Postgraduate,1352,-35.4618,148.983
Australian Capital Territory,2019,Domestic,Beginning,Male,Postgraduate,1266,-35.4618,148.983
Australian Capital Territory,2020,Domestic,Beginning,Male,Postgraduate,1292,-35.4618,148.983
Australian Capital Territory,2021,Domestic,Beginning,Male,Postgraduate,1321,-35.4618,148.983
Australian Capital Territory,2017,Domestic,Beginning,Male,Undergraduate,3557,-35.4618,148.983
Australian Capital Territory,2018,Domestic,Beginning,Male,Undergraduate,3175,-35.4618,148.983
Australian Capital Territory,2019,Domestic,Beginning,Male,Undergraduate,3184,-35.4618,148.983
Australian Capital Territory,2020,Domestic,Beginning,Male,Undergraduate,2780,-35.4618,148.983
Australian Capital Territory,2021,Domestic,Beginning,Male,Undergraduate,3335,-35.4618,148.983
Australian Capital Territory,2017,Domestic,Continuing,Female,Postgraduate,1257,-35.4618,148.983
Australian Capital Territory,2018,Domestic,Continuing,Female,Postgraduate,1190,-35.4618,148.983
Australian Capital Territory,2019,Domestic,Continuing,Female,Postgraduate,1328,-35.4618,148.983
Australian Capital Territory,2020,Domestic,Continuing,Female,Postgraduate,1188,-35.4618,148.983
Australian Capital Territory,2021,Domestic,Continuing,Female,Postgraduate,1531,-35.4618,148.983
Australian Capital Territory,2017,Domestic,Continuing,Female,Undergraduate,4846,-35.4618,148.983
Australian Capital Territory,2018,Domestic,Continuing,Female,Undergraduate,5105,-35.4618,148.983
Australian Capital Territory,2019,Domestic,Continuing,Female,Undergraduate,4693,-35.4618,148.983
Australian Capital Territory,2020,Domestic,Continuing,Female,Undergraduate,5061,-35.4618,148.983
Australian Capital Territory,2021,Domestic,Continuing,Female,Undergraduate,4935,-35.4618,148.983
Australian Capital Territory,2017,Domestic,Continuing,Male,Postgraduate,927,-35.4618,148.983
Australian Capital Territory,2018,Domestic,Continuing,Male,Postgraduate,888,-35.4618,148.983
Australian Capital Territory,2019,Domestic,Continuing,Male,Postgraduate,989,-35.4618,148.983
Australian Capital Territory,2020,Domestic,Continuing,Male,Postgraduate,937,-35.4618,148.983
Australian Capital Territory,2021,Domestic,Continuing,Male,Postgraduate,991,-35.4618,148.983
Australian Capital Territory,2017,Domestic,Continuing,Male,Undergraduate,4330,-35.4618,148.983
Australian Capital Territory,2018,Domestic,Continuing,Male,Undergraduate,4676,-35.4618,148.983
Australian Capital Territory,2019,Domestic,Continuing,Male,Undergraduate,4326,-35.4618,148.983
Australian Capital Territory,2020,Domestic,Continuing,Male,Undergraduate,4464,-35.4618,148.983
Australian Capital Territory,2021,Domestic,Continuing,Male,Undergraduate,4312,-35.4618,148.983
Australian Capital Territory,2017,Domestic,Finishing,Female,Postgraduate,1802,-35.4618,148.983
Australian Capital Territory,2018,Domestic,Finishing,Female,Postgraduate,1527,-35.4618,148.983
Australian Capital Territory,2019,Domestic,Finishing,Female,Postgraduate,1343,-35.4618,148.983
Australian Capital Territory,2020,Domestic,Finishing,Female,Postgraduate,1471,-35.4618,148.983
Australian Capital Territory,2021,Domestic,Finishing,Female,Postgraduate,1194,-35.4618,148.983
Australian Capital Territory,2017,Domestic,Finishing,Female,Undergraduate,2084,-35.4618,148.983
